rank,playerName,gameName,dotaId,played,wins,losses,winRate,points
1,天下伍酒,天下伍酒（red card）,253121211,6,5,1,83.3%,53
2,Pupa,Pupa,237169385,5,5,0,100.0%,50
3,Denn1s,Denn1s,208476639,5,3,2,60.0%,36
4,别问,别问！学就行,139135702,7,2,5,28.6%,35
5,QcccE,GHzQcE,1041606597,7,2,5,28.6%,35
6,inmost,Inmost,456880925,4,3,1,75.0%,33
7,Tips,酒蒙子黄毛体育生卡提,1045578592,3,3,0,100.0%,30
8,茶酒,茶酒,161822486,5,2,3,40.0%,29
9,阿均,"American ""Free Speech""",880277674,6,1,5,16.7%,25
10,be happy,be happy,1261852738,3,2,1,66.7%,23
11,cheaterbush,cheaterbush,448417036,3,2,1,66.7%,23
12,ico,ico,1206359917,3,2,1,66.7%,23
13,Kano,Kano,139595295,3,2,1,66.7%,23
14,猎奇,猎奇,788744238,5,1,4,20.0%,22
15,为人低调,全自动立功,139203171,2,2,0,100.0%,20
16,0v0,0v0,948306561,4,1,3,25.0%,19
17,钢琴家睿达,钢琴家睿达,139291120,4,1,3,25.0%,19
18,鱼人永不败,1ndulge,399825811,4,1,3,25.0%,19
19,Artol,Artol,1742683220,4,1,3,25.0%,19
20,范瑶,范瑶,830568211,2,1,1,50.0%,13
21,Chaibot,ChaiBot★,79759941,2,1,1,50.0%,13
22,KAMI,能帮我弄干净吗,133666698,4,0,4,0.0%,12
23,哈基马,等我上个马,339743252,1,1,0,100.0%,10
24,今晚执翻剂,今晚执翻剂,182726435,1,1,0,100.0%,10
25,李斯,李斯,403665770,1,1,0,100.0%,10
26,Moribund,Moribund,1065035539,1,1,0,100.0%,10
27,正高,正高,409431719,1,0,1,0.0%,3